"job_id","job_title","job_title_short","job_location","job_via","job_schedule_type","job_work_from_home","job_no_degree_mention","salary_year_avg","company_name"
1679078,"Product Data Analyst","Data Analyst","Israel","via LinkedIn","Full-time","",1,"","Maof"
9534,"Marketing Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via Natural Intelligence","Full-time","",1,"","Natural Intelligence"
9678,"Data Scientist","Data Scientist","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","MIcompany"
27248,"Data Scientist","Data Scientist","Tel Aviv-Yafo, Israel","via Comeet","Full-time","","","","Storemaven"
29913,"Software Engineer - Data Group","Software Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Lusha"
31178,"Financial Data Analyst","Data Analyst","Tel Aviv-Yafo, Israel","via Trabajo.org","Full-time","","","","SentinelOne"
43857,"Head of Data","Data Scientist","Ramat Gan, Israel","via LinkedIn","Full-time","","","","BTC  searching"
46146,"Analyst- Tetris","Business Analyst","Tel Aviv-Yafo, Israel","via Comeet","Full-time","","","","Playstudios International Israel"
83199,"Backend Engineer","Software Engineer","Giv'atayim, Israel","via Comeet","Full-time","","","","Imagen"
120335,"Solution Engineer","Software Engineer","Ashkelon, Israel","via LinkedIn","Full-time","","","","LSports"
120684,"Data Engineer for Computer Vision DL algorithms","Data Engineer","Herzliya, Israel","via Trabajo.org","Full-time","","","","Apple"
121186,"Data scientist Full Stack","Data Scientist","Tel Aviv-Yafo, Israel","via Trabajo.org","Full-time","","","","ironSource"
132864,"Data Analyst","Data Analyst","Israel","via LinkedIn","Full-time","",1,"","G-STAT"
134657,"Big Data Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via Comeet","Full-time","","","","Cynet"
134900,"Data Engineer - Python and Spark","Data Engineer","Israel","via LinkedIn","Full-time","",1,"","NAYA Technologies (part of EPAM Systems, Inc.)"
134960,"Data Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via Comeet","Full-time","","","","Vi"
136929,"Backend Engineer","Software Engineer","Ashkelon, Israel","via LinkedIn","Full-time","",1,"","LSports"
140676,"Data Integration Analyst","Data Analyst","Giv'atayim, Israel","via Comeet","Full-time","","","","Personetics"
208700,"Data Analyst Student for Data Management","Data Analyst","Haifa, Israel","via Trabajo.org","Full-time","","","","Intel"
209757,"Machine Learning Engineer","Machine Learning Engineer","Tel Aviv-Yafo, Israel","via Machine Learning Israel","Full-time","","","","DRW"
210398,"Marketing Data Analyst 335","Data Analyst","Ra'anana, Israel","via LinkedIn","Full-time","","","","Beach Bum"
216552,"Data Research Analyst, Trilogy (Remote) - $60,000/year USD","Data Analyst","Anywhere","via LinkedIn","Full-time",1,1,"","Crossover"
216631,"BI Systems Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","",1,"","SQLink Group"
217499,"Data Analyst","Data Analyst","Magal, Israel","via Comeet","Full-time","","","","Netafim"
218265,"Implementation Engineer","Software Engineer","Ramat Gan, Israel","via LinkedIn","Full-time","","","","Avalor Security"
219080,"BI (Business Intelligence) Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via Trabajo.org","Full-time","","","","Broadway Gaming"
220774,"QA Automation Engineer - Market Data","Data Engineer","Tel Aviv-Yafo, Israel","via Intercontinental Exchange - Talentify","Full-time","","","","Intercontinental Exchange - ICE"
223866,"Data Engineer","Data Engineer","Israel","via LinkedIn","Full-time","","","","Gotfriends"
226157,"Junior Big Data Developer","Data Engineer","Tel Aviv-Yafo, Israel","via Trabajo.org","Full-time","","","","Yotpo"
249476,"Data Network Engineer","Data Engineer","Petah Tikva, Israel","via LinkedIn","Full-time","",1,"","Bezeq International"
252154,"Frontend Developer","Software Engineer","Tel Aviv-Yafo, Israel","via Explorium","Full-time","",1,"","Explorium"
256522,"Data Python Developer","Software Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","",1,"","Tango"
257968,"MLOps Engineer","Machine Learning Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","At-Bay"
296428,"Software Engineer","Software Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Temp work","","","","BIyond - BI, Big Data and Analytics"
296818,"Digital Analyst","Data Analyst","Kefar Sava, Israel","via LinkedIn","Full-time","","","","Hitechzone"
337776,"People Analyst - Temporary position","Data Scientist","Herzliya, Israel","via Comeet","","",1,"","Playtika"
339868,"Business Intelligence Analyst","Business Analyst","Petah Tikva, Israel","via LinkedIn","Full-time","",1,"","Datacube"
341700,"Digital Analyst","Data Analyst","Israel","via LinkedIn","Full-time","",1,"","Elad Software Systems"
344072,"Marketing Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","dentsu Israel"
361338,"BI System Analyst (JB-2502)","Business Analyst","Israel","via LinkedIn","Full-time","","","","Gtech"
365672,"BI Engineer","Business Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Lemonade"
365824,"SOC Analyst- I","Software Engineer","Israel","via Trabajo.org","Full-time","","","","F5"
415134,"Data Engineer","Data Engineer","Israel","via LinkedIn","Full-time","",1,"","INGIMA ISRAEL"
418419,"Software Engineer","Software Engineer","Haifa, Israel","via Comeet","Full-time","",1,"","Plus500"
453456,"Risk & Compliance Data Analyst","Data Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","",1,"","Rise"
454246,"Data Analyst","Data Analyst","Herzliya, Israel","via LinkedIn","Full-time","","","","FireArc Technologies .LTD"
509498,"Experienced Signal / Power Integrity Engineer","Business Analyst","Kefar Sava, Israel","via SmartRecruiters Job Search","Full-time","","","","Western Digital"
511194,"Data Analyst","Data Analyst","Tel Aviv-Yafo, Israel","via Comeet","Full-time","","","","Remitly IL"
511359,"Data Platform Engineer","Data Engineer","Israel","via EchoJobs","Full-time","",1,"","Next Insurance"
512552,"Data Engineer","Data Engineer","Israel","via LinkedIn","Full-time","",1,"","G-STAT"
517703,"Power BI and Data Analyst","Data Analyst","Israel","via LinkedIn","Full-time","","","","Intelligent Business"
553800,"Head of Data Science( bioinformatician)","Data Scientist","Rehovot, Israel","via LinkedIn","Full-time","","","","Ethosia"
559714,"Big Data Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","ironSource"
562400,"Data Scientist III","Data Scientist","Israel","via Trabajo.org","Full-time","","","","Tellus Solutions"
600755,"Data Scientist | NLG","Data Scientist","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","theGist"
601427,"Junior Marketing Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Exorigos"
601957,"Infra Software Engineer","Software Engineer","Herzliya, Israel","via LinkedIn","Full-time","","","","Varonis"
605252,"Backend Engineer","Software Engineer","Anywhere","via VentureLoop","Full-time",1,1,"","Melio"
647146,"Financial Planning Analyst","Business Analyst","Netanya, Israel","via LinkedIn","Full-time","","","","Bright Data"
656868,"People Analyst","Data Scientist","Ramat Gan, Israel","via LinkedIn","Full-time","","","","Informed Decisions"
658617,"Configuration Analyst","Cloud Engineer","Israel","via Trabajo.org","Full-time","",1,"","Harvard Pilgrim HealthCare"
658831,"Data Engineer","Data Engineer","Herzliya, Israel","via LinkedIn","Full-time","","","","888holdings"
686299,"Data Analyst Intern","Data Analyst","Anywhere","via LinkedIn","Internship",1,"","","Torii"
689195,"Data Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Intelos Ltd."
689730,"Product Analyst","Software Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Arpeely"
745018,"Analytics/Data Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","",1,"","G-STAT"
755834,"Junior Data Management Engineer","Data Engineer","Haifa, Israel","via LinkedIn","Full-time","","","","Novocure"
792763,"front-end data engineer","Data Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Matrix DnA"
796006,"Data Steward Supervisor","Senior Data Scientist","Tel Aviv-Yafo, Israel","via Trabajo.org","Full-time","",1,"","Veeva Systems"
797586,"Physical Design Engineer","Business Analyst","Haifa, Israel","via Trabajo.org","Full-time","","","","VLSI"
852819,"Data Science Specialist","Data Scientist","Kiryat Bialik, Israel","via LinkedIn","Full-time","","","","Rafael Advanced Defense Systems"
857792,"Data Analyst","Data Analyst","Ramat Gan, Israel","via LinkedIn","Full-time","","","","Overwolf"
901003,"ML Engineer","Machine Learning Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Transmit Security"
907696,"IP/MPLS Network Engineer","Cloud Engineer","Petah Tikva, Israel","via Trabajo.org","Full-time","",1,"","Ribbon Communications"
957103,"Backend Engineer (Experienced)","Software Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Similarweb"
1010663,"Data Analyst - Advisory Services","Data Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","",1,"","Similarweb"
1011621,"Data Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","No Company Name 1"
1012655,"Data Engineer","Data Engineer","Ramat Gan, Israel","via LinkedIn","Full-time","","","","Clalit Innovation"
1013203,"Marketing Data Analyst","Data Analyst","Lod, Israel","via LinkedIn","Full-time","","","","G-STAT"
1024144,"Data Scientist","Data Scientist","Tel Aviv-Yafo, Israel","via Startup Jobs","Full-time","","","","Via"
1066653,"Business Intelligence Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Fabric"
1068180,"Head Of Data","Data Scientist","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Neema - Better Than a Bank"
1076752,"FinOps Engineer","Cloud Engineer","Herzliya, Israel","via LinkedIn","Full-time","","","","Varonis"
1079057,"Data Analyst","Data Analyst","Rehovot, Israel","via LinkedIn","Full-time","","","","Applied Materials"
1080962,"Marketing Data Analyst","Data Analyst","Israel","via LinkedIn","Full-time","",1,"","G-STAT"
1124294,"Data Analyst","Data Analyst","Petah Tikva, Israel","via LinkedIn","Full-time","","","","Migdal Group"
1133185,"Marketing Analyst","Business Analyst","Kiryat Ono, Israel","via LinkedIn","Full-time","","","","Kendago"
1192605,"Data Scientist","Data Scientist","Petah Tikva, Israel","via LinkedIn","Full-time","","","","comblack"
1192858,"Data Scientist","Data Scientist","Haifa, Israel","via LinkedIn","Part-time","","","","Data Science Research Center at the University of Haifa"
1194642,"Marketing Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","",1,"","SpoTower"
1275952,"Junior Business Intelligence and Roaming Analyst","Business Analyst","Petah Tikva, Israel","via LinkedIn","Full-time","","","","Webbing"
1288437,"Data Engineer","Data Engineer","Petah Tikva, Israel","via LinkedIn","Full-time","","","","Align Technology"
1289380,"Data Expert","Data Scientist","Rahat, Israel","via Comeet","Full-time","","","","SodaStream"
1320343,"Data Engineer - Python and Spark","Data Engineer","Israel","via LinkedIn","Full-time","",1,"","NAYA Technologies (part of EPAM Systems, Inc.)"
1374289,"Data Engineer","Data Engineer","Israel","via LinkedIn","Full-time","","","","Gotfriends"
1385769,"Business Intelligence System Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","",1,"","Aqurate Data"
1390132,"Machine Learning Engineer","Machine Learning Engineer","Israel","via LinkedIn","Full-time","","","","Sharpies"
1507043,"Data Analyst & BI Developer","Data Analyst","Israel","via LinkedIn","Full-time","","","","Moonsite - Moonsoft Development Ltd."
1509645,"Data Scientist","Data Scientist","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Intelos Ltd."
1513919,"Market Data Analyst - Commodity Derivatives","Data Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","ICE"
1527771,"Presales Engineer","Business Analyst","Israel","via LinkedIn","Full-time","",1,"","Bynet Data Communications"
1578000,"Data (BI) Engineer (Maternity leave replacement)","Data Engineer","Haifa, Israel","via LinkedIn","","","","","Intel"
1590116,"Business Analyst","Business Analyst","Petah Tikva, Israel","via Comeet","Full-time","","","","Medison Pharma"
1590585,"Data Analyst","Data Analyst","Ramat Gan, Israel","via LinkedIn","Full-time","",1,"","DataTeam"
1591453,"Data Engineer","Data Engineer","Israel","via LinkedIn","Full-time","",1,"","G-STAT"
1602125,"Data Engineer 2","Data Engineer","Petah Tikva, Israel","via LinkedIn","Full-time","","","","Intuit"
1653317,"BI QA & Data Quality Engineer","Data Engineer","Israel","via קבוצת נישה","Full-time","",1,"","888HOLDINGS"
1653511,"Backend Engineer - C#","Software Engineer","Ashkelon, Israel","via LinkedIn","Full-time","",1,"","No Company Name 1"
1662865,"Data Analytics Instructor","Data Analyst","Ramat Gan, Israel","via Nefesh B'Nefesh","Full-time","","","","Developers.Institute"
200462,"Data Scientist","Data Scientist","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Fiverr"
255614,"Annotation Analyst- Part Time","Business Analyst","Tel Aviv-Yafo, Israel","via Comeet","Part-time","",1,"","Buildots"
257452,"Finanace Data Analyst","Data Analyst","Rosh Haayin, Israel","via Comeet","Full-time","","","","Tarya Israel"
364424,"Deep Learning Researcher","Machine Learning Engineer","Tel Aviv-Yafo, Israel","via Trabajo.org","Full-time","","","","Autobrains Technologies"
364666,"Software Developer","Software Engineer","Haifa, Israel","via Trabajo.org","Full-time","","","","AppsFlyer"
487365,"Data Science","Data Scientist","Kiryat Gat, Israel","via Trabajo.org","Full-time","","","","Intel"
565567,"Devops Engineer- DA Cloud","Cloud Engineer","Haifa, Israel","via Trabajo.org","Full-time","",1,"","Varonis"
632210,"Business Analyst, Data Strategy","Business Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Similarweb"
748679,"Operations Optimization Specialist - Data Analyst","Data Analyst","Tel Aviv-Yafo, Israel","via Ai-Jobs.net","Full-time","","","105000.0","Wolt"
614435,"Configuration & Requirements Analyst","Software Engineer","Tel Aviv-Yafo, Israel","via Trabajo.org","Full-time","","","","Alstom"
617193,"Technical Services Engineer, A&I","Business Analyst","Tel Aviv-Yafo, Israel","via Trabajo.org","Full-time","","","","MongoDB"
708903,"Full Stack Engineer","Software Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","",1,"","HiredScore"
712463,"Sales & Marketing Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Abbott"
729630,"Data Scientist","Data Scientist","Kefar Sava, Israel","via Trabajo.org","Full-time","","","","Western Digital"
751922,"Data Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via BioCatch - Talentify","Full-time","",1,"","BioCatch"
777948,"Machine Learning Engineer","Machine Learning Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Orca Security"
778445,"Software Engineer – Media AI","Software Engineer","Tel Aviv-Yafo, Israel","via Trabajo.org","Full-time","",1,"","Microsoft"
781261,"Marketing Data Analyst","Data Analyst","Tel Aviv-Yafo, Israel","via BeBee Israel","Full-time","",1,"","Fireblocks"
988717,"Data Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Gong"
997713,"Data Scientist","Data Scientist","Anywhere","via AccessiBe - Talentify","Full-time",1,"","","accessiBe"
1062513,"Practical Engineer","Data Scientist","Yokne'am Illit, Israel","via Trabajo.org","Full-time","",1,"","Nvidia"
1126746,"Data Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","",1,"","VSHRmng"
1346178,"DevOps Platform Engineer","Software Engineer","Yokne'am Illit, Israel","via SmartRecruiters Job Search","Full-time","","","","NielsenIQ"
1493897,"Sales & Marketing Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Abbott"
1714365,"Data Scientist","Data Scientist","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","M Analytics"
1784557,"Staff Software Engineer, Data Modeling","Software Engineer","Petah Tikva, Israel","via Trabajo.org","Full-time","",1,"","Intuit"
37349,"Marketing Business Analyst","Business Analyst","Hod Hasharon, Israel","via LinkedIn","Full-time","","","","Karamba Security"
39346,"Database Infrastructure Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","",1,"","Wix"
61831,"Head Of Delivery, Data Science","Data Scientist","Ramat Gan, Israel","via LinkedIn","Full-time","","","","Placer.ai"
107906,"Data Scientist","Data Scientist","Israel","via LinkedIn","Full-time","","","","Maof HR"
108456,"NLP Data Scientist - Hebrew, Arabic & Persian","Data Scientist","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Webiks"
112422,"Software System Engineer – architect office","Software Engineer","Tel Aviv-Yafo, Israel","via Comeet","Full-time","","","","CytoReason"
144512,"Data Platform Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","",1,"","NeuraLight"
145727,"Business Intelligence System Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","",1,"","Datacube"
150785,"Data Analyst","Data Analyst","Rishon LeTsiyon, Israel","via Comeet","Full-time","","","","Discount Bank"
151318,"Data Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Ethosia"
163637,"Data Scientist","Data Scientist","Tel Aviv District, Israel","via The Muse","Full-time","","","","TripActions"
164518,"Machine Learning Engineer","Machine Learning Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Vonage"
164747,"Data Analyst","Data Analyst","Ramat Gan, Israel","via LinkedIn","Full-time","","","","VIDAA"
168636,"Data Analyst","Data Analyst","Israel","via LinkedIn","Full-time","",1,"","Pro-Vision.io"
169374,"Partner Data Analyst","Data Analyst","Herzliya, Israel","via Trabajo.org","Full-time","","","","AppsFlyer"
171060,"Data Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via Comeet","Full-time","","","","Explorium"
188825,"Data Analyst","Data Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","",1,"","SQLink Group"
191497,"Data Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via Comeet","Full-time","","","","KPMG"
191784,"לחברת מזון גדולה ובינלאומית דרוש\ה Data Scientist","Data Scientist","Petah Tikva, Israel","via LinkedIn","Full-time","","","","G-STAT"
242677,"Data Scientist","Data Scientist","Tel Aviv-Yafo, Israel","via Comeet","Full-time","","","","Flare"
315389,"Machine Learning Engineer","Machine Learning Engineer","Ashkelon, Israel","via LSports","Full-time","","","","LSports"
318559,"Plants Anomaly Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via Trabajo.org","Full-time","","","","Prospera"
318877,"Big Data System Analyst","Data Analyst","Lod, Israel","via LinkedIn","Full-time","",1,"","YouCC Technologies Ltd."
319379,"Trading Data Analyst","Data Analyst","Anywhere","via EToro - Talentify","Full-time",1,"","","eToro"
321073,"Cloud FinOps Analyst","Software Engineer","Haifa, Israel","via Trabajo.org","Full-time","","","","Varonis"
321368,"Data Engineer","Data Engineer","Israel","via LinkedIn","Full-time","",1,"","Gotfriends"
346876,"Data Engineer","Data Engineer","Magal, Israel","via Comeet","Full-time","","","","Netafim"
347659,"Firmware Engineer","Software Engineer","Hod Hasharon, Israel","via Trabajo.org","Full-time","","","","Microchip"
351180,"Data Engineer","Data Engineer","Herzliya, Israel","via LinkedIn","Full-time","",1,"","FireArc Technologies .LTD"
375790,"Data Scientist, Analytics (Israel)","Data Scientist","Israel","via Startup Jobs","Full-time","","","","Brex"
379403,"Data Scientist NLP","Data Scientist","Ramat Hasharon, Israel","via LinkedIn","Full-time","","","","myElla (aka: Marktrix)"
380853,"Product Analyst","Software Engineer","Herzliya, Israel","via LinkedIn","Full-time","","","","Recruitx"
438693,"Network Analyst \ Researcher","Data Scientist","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","",1,"","Veego"
441620,"Marketing Analyst","Business Analyst","Israel","via LinkedIn","Full-time","","","","dentsu Israel"
441879,"Business Data Analyst","Data Analyst","Tel Aviv-Yafo, Israel","via Comeet","Full-time","",1,"","monday.com"
443075,"Remote - Online Data Analyst","Data Analyst","Jerusalem, Israel","via The Muse","Full-time","",1,"","TELUS International AI Inc."
444939,"Data Validation Engineer","Data Engineer","Israel","via LinkedIn","Full-time","",1,"","Harel Insurance & Finance"
452612,"Marketing Analyst","Business Analyst","Netanya, Israel","via LinkedIn","Full-time","","","","PassportCard Labs"
469290,"Marketing Data Analyst","Data Analyst","Israel","via LinkedIn","Full-time","","","","G-STAT"
499949,"FP&A and Data Analyst","Data Analyst","Yokne'am Illit, Israel","via LinkedIn","Full-time","","","","Lumenis"
549256,"Business Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Wix"
551408,"Data Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","Artlist"
585249,"Data Engineer","Data Engineer","Tel Aviv-Yafo, Israel","via LinkedIn","Full-time","","","","G-STAT"
587559,"Data Scientist","Data Scientist","Caesarea, Israel","via LinkedIn","Full-time","","","","Wiliot"
594146,"Business Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via Comeet","Full-time","","","","Papaya Gaming"
626626,"Decision-Making Analyst","Business Analyst","Tel Aviv-Yafo, Israel","via LinkedIn","Part-time","","","","Cytactic"
